	01_St1_D1	02_St1_D15	03_St1_D45	04_St2_D1	05_St2_D15	06_St2_D45	07_St3_D1	08_St3_D15	09_St3_D45	10_St4_D1	11_St4_D15	12_St4_D45	13_St5_D1	14_St5_D15	15_St5_D45	16_St6_D1	17_St6_D15	18_St6_D45	19_St7_D1	20_St7_D15	21_St7_D45	22_St8_D1	23_St8_D15	24_St8_D45	25_St9_D1	26_St10_D1	27_St10_D15	28_St10_D45	29_St11_D1	30_St11_D15	31_St11_D45	32_St12_D1	33_St12_D15	34_St12_D45	35_St13_D1	36_St13_D15	37_St13_D45	38_St14_D1	39_St14_D15	40_St14_D45	41_St15_D1	42_St15_D15	43_St15_D45	44_St16_D1	45_St16_D15	46_St16_D45	47_St17_D1	48_St17_D15	49_St17_D45	50_St18_D1	51_St18_D15	52_St18_D45	53_St19_D1	54_St19_D15	55_St19_D45	56_St20_D1	57_St20_D15	58_St20_D45	59_St21_D1	60_St21_D15	61_St21_D45	62_St22_D1	63_St22_D15	64_St22_D45
ASV25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV26	663	3336	1210	861	2555	639	993	2331	1364	1308	4035	1721	2640	2671	1880	2248	2700	2031	2920	2213	1432	2674	1924	1260	6059	3199	2644	2784	1954	2075	2405	2032	2620	2385	3017	1692	2004	4062	2767	1800	1136	683	866	2214	1325	1489	6040	2188	4488	13775	2181	2501	7992	2192	3028	7086	2575	2239	3037	1585	2154	3990	4557	5522
ASV27	20	1493	15252	11	556	5689	56	1210	7633	35	1073	9318	495	996	4727	404	2794	6030	664	1172	4674	1008	1662	7892	5385	3058	3745	6352	1461	2746	4207	1186	1866	8211	833	806	3274	448	550	4201	1430	641	1453	993	1218	2851	94	706	243	8	1048	4313	39	1007	9722	2	889	5254	64	1159	4670	86	1293	10530
ASV28	204	2619	9119	199	2665	5228	424	3942	4398	830	7196	7052	3126	5357	5428	2664	4181	3512	5139	7173	3811	3826	5010	2832	1419	728	1071	1550	511	835	1678	326	416	1714	369	800	2880	527	1870	2216	1791	2163	3566	3278	2784	5116	297	977	479	634	1309	1560	614	1198	2705	99	935	999	523	1398	1549	285	1840	6473
ASV29	54	695	5949	51	414	2306	53	546	2627	99	890	3567	467	549	1542	275	915	1242	456	620	1770	475	640	1578	6024	2477	2524	7047	327	772	5639	421	494	3665	317	380	1382	199	426	1501	846	579	1200	766	774	1734	10238	7780	8967	524	9897	6946	846	9073	5963	124	6674	4928	1369	3612	2080	210	914	5942
ASV30	336	1353	1271	176	1254	808	259	1338	1052	456	564	1346	1415	2409	1274	1411	4512	1871	846	2323	935	1677	4213	2099	223	409	523	38	208	752	58	436	423	1442	444	709	2673	227	2000	2224	7185	10436	2118	2798	3774	1523	120	354	224	571	257	296	5125	730	1748	3493	12251	464	28648	15966	1223	46	37	219
ASV31	15227	778	1124	23053	1305	395	12078	783	609	11676	1519	500	972	781	416	664	642	525	643	424	402	296	311	143	1327	1421	1455	719	1178	960	638	992	1557	910	1548	1074	487	1679	980	265	166	22	10	688	239	148	241	917	356	4290	1525	1044	4318	1684	1098	6457	3851	1083	5816	3513	929	9878	4052	614
ASV32	103	2131	3509	95	838	1115	205	1232	1894	277	1799	1636	1460	1330	2064	1535	2434	3268	1593	1164	1644	4369	5315	3456	7279	2368	2250	6700	2583	2439	4847	1671	2037	3737	1866	1390	1179	1688	1346	1970	1444	557	425	2318	1695	1481	179	921	443	76	1523	3754	203	1660	3829	104	1457	2427	420	1810	1431	4339	9903	2118
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV34	226	3193	7712	165	2776	5384	366	2926	3681	315	2903	4202	915	1525	2105	851	2784	2025	1059	1709	1954	1340	2363	3189	4806	2781	2651	1577	694	1253	1700	838	1336	2345	573	752	2173	363	1087	1905	1604	550	363	1667	1445	2527	1301	2976	4803	213	2589	2670	293	2438	3849	45	2347	1527	409	1514	1714	472	2959	10028
ASV35	311	2596	2563	336	2906	1146	959	4507	1864	686	2225	1564	5202	5817	1786	4747	6135	2862	6001	3612	1530	3155	2132	425	9160	2377	2040	1544	604	717	1250	743	1224	1580	817	862	1459	637	1578	1369	847	179	53	1582	1138	874	386	1735	883	1805	2361	1610	1541	3137	2705	321	3662	1249	984	1828	1258	386	950	7062
ASV36	511	2264	2307	407	1980	3009	654	3206	2244	887	3967	3415	3010	5322	5826	1980	3786	4667	5138	5586	4542	3549	5017	2485	337	761	1154	1104	710	1031	1298	536	537	2084	479	773	2924	568	1524	1730	1408	1350	2140	2655	2268	4564	14	120	32	482	553	1366	446	727	3104	9	483	1178	311	981	2214	238	1200	4358
ASV37	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV38	5736	355	844	16251	311	216	5469	380	374	5334	318	294	792	791	604	629	849	1024	647	645	604	497	313	132	906	510	396	471	230	289	370	259	360	762	478	339	460	590	337	209	126	39	13	358	201	135	8847	824	1299	17590	650	501	9871	746	1137	18570	966	397	2520	493	475	3826	1547	1865
ASV39	476	2799	2280	479	2396	1745	880	3889	1832	871	2699	1907	3993	6097	3764	3838	6197	5032	5134	5411	2181	2797	2585	870	1531	681	836	994	459	879	1049	573	757	2237	515	1009	2446	642	1986	1599	1102	479	233	2049	1493	1847	68	386	191	2392	702	1476	1607	852	3443	298	938	944	451	1027	1802	878	2109	7980
ASV40	9020	588	461	20475	679	272	7044	529	200	11101	366	147	703	985	2077	625	2677	4462	467	862	2566	2984	2750	3141	7	8	11	37	63	71	96	72	96	775	172	502	1744	196	1527	2286	3405	2164	359	5584	7230	1534	90	20	18	1292	27	266	1677	94	1940	971	1560	2114	3452	4682	1036	29	58	285
ASV41	169	1839	4837	127	1624	1883	245	1759	2343	438	3414	4614	1878	1992	2203	1266	2688	3315	1951	2004	2117	1745	1489	1762	3584	1991	2360	2123	1255	2701	1766	914	1362	2583	856	787	1243	535	1000	1102	655	352	411	1219	1077	1033	4699	3614	6845	321	3779	2017	390	3514	2373	165	2926	1829	703	1351	1329	71	617	5477
ASV42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	0	0	117	0	0	120	0	0	972	5	124	5221	1	233	2982	13495	34147	44216	4	528	6708	0	0	0	0	1	27	0	0	764	0	0	337	0	0	844	0	88	3512
ASV43	104	704	1216	112	601	597	182	829	875	218	972	885	450	579	904	357	977	804	511	650	821	832	944	624	28229	7668	5874	2483	1307	1609	2046	1490	2436	1419	977	430	696	685	716	853	950	412	194	705	427	946	579	2877	1598	1214	2116	1181	927	2174	1340	270	2228	744	632	929	798	1168	2767	3108
