Cruise,Date,Area,StationID,CTD,Depth,ID_sample,Latitude,Longitude,Pot_temperature,Salinity,Fluorescence_Chla,Fluoresence_fDOM,PAR,NO3,NO3_NO2,SiO2,NO2 ,PO4,DOC,TDN,DON,Chla_ugL,BIX,b,t,a,m,c,FI,HIX,B_A,a254,a300,a350,E2_E3 ,E4_E6,S275_295,S350_400,S300_700,SR ,SUVA254,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,r_parafac1,r_parafac2,r_parafac3,r_parafac4
Augmentum01,2025-08-21T13:38:00,Iterdlak,11,11,15,St11_15,60.74883333,-45.6755,4.12,31.152,0.9,3.089,4.573,0.168,0.197,0.659,0.029,0.206,,,,0.9,0.790978918,0.036336332,0.024687492,0.284151646,0.151326914,0.18678842,2.019569747,0.949544207,0.532556881,3.330809627,1.639039286,1.025440957,3.58746138,1.392482281,0.01917253,0.010468285,0.007003738,1.8314873,,0.197607993,0.172904847,0.155696971,0.128632709,0.301764145,0.264040348,0.237762464,0.196433043
Augmentum01,2025-08-21T13:38:00,Iterdlak,11,11,45,St11_45,60.74883333,-45.6755,1.95,31.982,0.13,3.269,0.163,1.0722,1.23,1.576,0.1578,0.405,98.02,10.37,9.14,0.13,0.638563887,0.032469556,0,0.206249544,0.100069059,0.15092178,2.246658499,0.986108352,0.485184388,2.154201549,1.155886486,0.53344029,4.204084383,1.474623218,0.020540711,0.013945835,0.013497844,1.472892178,2.639386792,0.143374728,0.134725624,0.12797859,0.095276551,0.285974184,0.268722744,0.25526516,0.190037912
Augmentum01,2025-08-22T07:53:00,Iterdlak,12,12,1,St12_1,60.70316667,-45.91066667,5.17,30.285,1.13,3.026,83.759,0.1767,0.214,0.734,0.0373,0.178,86.18,8.54,8.33,1.13,0.688253732,0.113584077,0.095104643,0.297441064,0.163516465,0.141327686,1.315286086,0.827919627,0.549744081,3.13745139,1.286630704,0.661105624,6.203189961,11453.10354,0.022586219,0.017275885,0.014130072,1.307384141,4.372212829,0.256171403,0.075251509,0.11013383,0.136179848,0.443405191,0.130252282,0.190629834,0.235712694
Augmentum01,2025-08-22T07:53:00,Iterdlak,12,12,15,St12_15,60.70316667,-45.91066667,5.14,30.304,1.18,3.03,4.758,0.1463,0.171,0.706,0.0247,0.169,88.71,8.88,8.71,1.18,0.850875196,0.089892208,0.067344816,0.260421138,0.136995113,0.120566144,1.233135067,0.839144434,0.526052202,2.539399746,0.999838462,0.414630486,7.85478353,21.82781911,0.025231681,0.017633662,0.0183058,1.430881473,3.437817832,0.220606982,0.058582257,0.119262373,0.132297777,0.415651881,0.110376494,0.224705625,0.249266
Augmentum01,2025-08-22T07:53:00,Iterdlak,12,12,45,St12_45,60.70316667,-45.91066667,2.16,31.908,0.29,3.095,0.046,1.5862,1.699,2.141,0.1128,0.444,153.63,18.6,16.9,0.29,0.798067964,0.13130547,0.075923284,0.327379788,0.166344314,0.17764817,1.471423688,0.82207681,0.508108074,6.398019421,3.615966564,2.609547191,2.814825565,1.518970458,0.013188206,0.005833354,0.005372427,2.260827197,5.00163708,0.280237123,0.081426084,0.094155569,0.157721818,0.456754004,0.132715072,0.153462656,0.257068268
Augmentum01,2025-08-22T09:11:00,Iterdlak,13,13,1,St13_1,60.694,-46.11233333,6.36,29.467,1.08,2.902,84.141,0.118,0.142,0.717,0.024,0.119,77.68,5.85,5.71,1.08,0.685066029,0.063260698,0.070215293,0.30101601,0.15785436,0.12656459,1.202322844,0.880789019,0.524405198,3.957426246,1.789305323,0.900585122,5.381774938,3.144516384,0.02122043,0.01201551,0.01250676,1.766086496,6.118729626,0.252747273,0.067548556,0.102182317,0.120718899,0.465295744,0.124353688,0.1881128,0.222237768
Augmentum01,2025-08-22T09:11:00,Iterdlak,13,13,15,St13_15,60.694,-46.11233333,5.32,30.447,1.31,2.843,5.814,0.1154,0.134,0.716,0.0186,0.207,75.95,5.48,5.35,1.31,0.924251502,0.056876274,0.066860016,0.307304234,0.153706931,0.128701556,1.222161418,0.882995544,0.500178369,3.065641072,1.286176348,0.496261196,8.104507338,24.00845522,0.034530486,0.019745693,0.022980118,1.748760376,4.84763294,0.26122309,0.063642212,0.100413168,0.098940835,0.498308795,0.121403793,0.191548016,0.188739396
Augmentum01,2025-08-22T09:11:00,Iterdlak,13,13,45,St13_45,60.694,-46.11233333,2.7,31.648,0.55,2.954,0.188,0.9155,0.973,1.476,0.0575,0.373,87.3,8.79,7.82,0.55,0.69574225,0.059122232,0.061344029,0.305288002,0.157216706,0.127537127,1.47195244,0.883052732,0.514978332,2.839743889,1.124714974,0.570800915,6.782506651,1.458050875,0.023506485,0.017565925,0.012934195,1.338186585,3.906751916,0.256378861,0.062180917,0.1355015,0.112472878,0.452539107,0.109756696,0.239176224,0.198527974
Augmentum01,2025-08-22T13:21:00,Iterdlak,14,14,1,St14_1,60.64383333,-46.25516667,6.48,29.589,0.31,2.897,85.922,0.121,0.137,0.702,0.016,0.104,70.4,6.1,5.96,0.31,0.532687831,0.13275526,0.08692328,0.439038265,0.32123322,0.782272432,2.556372143,0.844685979,0.731674766,6.754117115,3.614678371,2.541821343,1.869380461,1.274632546,0.022000601,0.004337798,0.00459814,5.071836091,11.52160878,0.272443601,0.491110522,2.156565753,1.16799358,0.066642867,0.120131334,0.527521013,0.285704786
Augmentum01,2025-08-22T13:21:00,Iterdlak,14,14,15,St14_15,60.64383333,-46.25516667,4.86,30.622,0.97,2.458,9.285,0.1394,0.163,0.958,0.0236,0.213,82.23,6.33,6.16,0.97,0.764299796,0.065060103,0.072083714,0.278426881,0.152211095,0.139680732,1.438059967,0.858148367,0.546682468,4.11228911,1.868581387,1.156026221,3.589184003,1.456705421,0.015460545,0.0068141,0.007243389,2.268904972,6.006265603,0.249185909,0.075955766,0.472231335,0.33345709,0.220356629,0.06716815,0.417597069,0.294878152
